"Item","Plat","Status"
Aklex Prime Blueprint,8,Online
Pyrana Prime Blueprint,11,Online
Nami Skyla Prime Handle,4,Online
Ballistica Prime Blueprint,7,Online
Zephyr Prime Chassis,3,Online
Pyrana Prime Receiver,2,Online
Pyrana Prime Barrel,1,Online
Redeemer Prime Blade,1,Online
Destreza Prime Handle,1,Online
Rubico Prime Barrel,1,Online
Akjagara Prime Receiver,3,Online
Zhuge Prime Grip,0,Online
Ninkondi Prime Handle,10,Online
Ninkondi Prime Blueprint,4,Online
Zhuge Prime Barrel,9,Online
Wukong Prime Systems,18,Online
Wukong Prime Chassis,1,Online
Zhuge Prime Blueprint,0,Online
Wukong Prime Blueprint,9,Online
Zhuge Prime Receiver,7,Online
Zhuge Prime String,3,Online
Scindo Prime Handle,4,Online
Ninkondi Prime Chain,0,Online
Wukong Prime Neuroptics,3,Online
Loki Prime Blueprint,8,Online
Ember Prime Neuroptics,19,Online
Nekros Prime Neuroptics,39,Online
Hydroid Prime Neuroptics,7,Online
Wyrm Prime Carapace,29,Online
Wyrm Prime Blueprint,6,Online
Nekros Prime Chassis,4,Online
Ember Prime Chassis,19,Online
Ankyros Prime Gauntlet,14,Online
Ballistica Prime String,0,Online
Sybaris Prime Blueprint,0,Online
Bo Prime Blueprint,4,Online
Ember Prime Systems,14,Online
Ankyros Prime Blade,7,Online
Frost Prime Chassis,19,Online
Ember Prime Blueprint,44,Online
Silva & Aegis Prime Guard,14,Online
Volt Prime Neuroptics,63,Online
Ballistica Prime Lower Limb,0,Online
Rhino Prime Systems,9,Online
Helios Prime Cerebrum,34,Online
Volt Prime Blueprint,28,Online
Helios Prime Carapace,0,Online
Oberon Prime Neuroptics,14,Online
Volt Prime Chassis,29,Online
Trinity Prime Neuroptics,24,Online
Bo Prime Handle,9,Online
Bo Prime Ornament,37,Online
Dual Kamas Prime Blueprint,4,Online
Fang Prime Handle,2,Online
Latron Prime Barrel,8,Online
Wyrm Prime Systems,14,Online
Orthos Prime Blade,2,Online
Paris Prime Lower Limb,0,Online
Nyx Prime Blueprint,1,Online
Loki Prime Systems,194,Online
Rhino Prime Chassis,19,Online
Nyx Prime Systems,8,Online
Odonata Prime Harness,8,Online
Akbronco Prime Link,3,Online
Odonata Prime Systems,5,Online
Vectis Prime Barrel,7,Online
Dakra Prime Handle,7,Online
Hikou Prime Pouch,14,Online
Orthos Prime Handle,0,Online
Carrier Prime Blueprint,1,Online
Reaper Prime Blade,15,Online
Reaper Prime Blueprint,14,Online
Scindo Prime Blueprint,1,Online
Soma Prime Barrel,19,Online
Soma Prime Blueprint,4,Online
Vasto Prime Barrel,12,Online
Vasto Prime Blueprint,14,Online
Nova Prime Neuroptics,7,Online
Nova Prime Chassis,74,Online
Frost Prime Neuroptics,6,Online
Nova Prime Blueprint,8,Online
Rhino Prime Neuroptics,14,Online
Mag Prime Neuroptics,11,Online
Nyx Prime Neuroptics,34,Online
Loki Prime Chassis,17,Online
Loki Prime Neuroptics,17,Online
Nyx Prime Chassis,8,Online
Rhino Prime Blueprint,54,Online
Tigris Prime Stock,1,Online
Ash Prime Blueprint,6,Online
Frost Prime Systems,19,Online
Tigris Prime Receiver,6,Online
Ash Prime Chassis,4,Online
Ash Prime Systems,29,Online
Tigris Prime Blueprint,43,Online
Mag Prime Systems,9,Online
Mag Prime Chassis,8,Online
Trinity Prime Blueprint,20,Online
Vectis Prime Stock,6,Online
Ash Prime Neuroptics,5,Online
Vectis Prime Receiver,17,Online
Sybaris Prime Barrel,24,Online
Banshee Prime Chassis,19,Online
Valkyr Prime Neuroptics,3,Online
Venka Prime Blueprint,2,Online
